52,"Edson Airport","Edson","Canada","YET","CYET",53.5789,-116.4650,3043,-7,"A"
53,"Eureka Airport","Eureka","Canada","YEU","CYEU",79.9947,-85.8142,256,-6,"A"
54,"Inuvik Mike Zubko Airport","Inuvik","Canada","YEV","CYEV",68.3042,-133.4830,224,-7,"A"
55,"Iqaluit Airport","Iqaluit","Canada","YFB","CYFB",63.7564,-68.5558,110,-5,"A"
56,"Fredericton Airport","Fredericton","Canada","YFC","CYFC",45.8689,-66.5372,68,-4,"A"
57,"Forestville Airport","Forestville","Canada","YFE","CYFE",48.7461,-69.0972,293,-5,"A"
58,"Flin Flon Airport","Flin Flon","Canada","YFO","CYFO",54.6781,-101.6820,997,-6,"A"
59,"Fort Resolution Airport","Fort Resolution","Canada","YFR","CYFR",61.1808,-113.6900,526,-7,"A"
60,"Fort Simpson Airport","Fort Simpson","Canada","YFS","CYFS",61.7602,-121.2370,555,-7,"A"
61,"Kingston Norman Rogers Airport","Kingston","Canada","YGK","CYGK",44.2253,-76.5969,305,-5,"A"
62,"La Grande Rivière Airport","La Grande Riviere","Canada","YGL","CYGL",53.6253,-77.7042,639,-5,"A"
63,"Gaspé (Michel-Pouliot) Airport","Gaspe","Canada","YGP","CYGP",48.7753,-64.4786,112,-5,"A"
64,"Geraldton Greenstone Regional Airport","Geraldton","Canada","YGQ","CYGQ",49.7783,-86.9394,1144,-5,"A"
65,"Îles-de-la-Madeleine Airport","Iles De La Madeleine","Canada","YGR","CYGR",47.4247,-61.7781,35,-5,"A"
66,"Hudson Bay Airport","Hudson Bay","Canada","YHB","CYHB",52.8167,-102.3110,1175,-6,"N"
67,"Dryden Regional Airport","Dryden","Canada","YHD","CYHD",49.8317,-92.7442,1354,-6,"A"
68,"Ulukhaktok Holman Airport","Holman Island","Canada","YHI","CYHI",70.7628,-117.8060,117,-7,"A"
69,"Gjoa Haven Airport","Gjoa Haven","Canada","YHK","CYHK",68.6356,-95.8497,152,-7,"A"
70,"John C. Munro Hamilton International Airport","Hamilton","Canada","YHM","CYHM",43.1736,-79.9350,780,-5,"A"
71,"Montréal / Saint-Hubert Airport","Montreal","Canada","YHU","CYHU",45.5175,-73.4169,90,-5,"A"
72,"Hay River / Merlyn Carter Airport","Hay River","Canada","YHY","CYHY",60.8397,-115.7830,541,-7,"A"
73,"Halifax / Stanfield International Airport","Halifax","Canada","YHZ","CYHZ",44.8808,-63.5086,477,-4,"A"
74,"Atikokan Municipal Airport","Atikokan","Canada","YIB","CYIB",48.7739,-91.6386,1408,-5,"A"
75,"Pond Inlet Airport","Pond Inlet","Canada","YIO","CYIO",72.6833,-77.9667,181,-5,"A"
76,"St Jean Airport","St. Jean","Canada","YJN","CYJN",45.2944,-73.2811,136,-5,"A"
77,"Stephenville Airport","Stephenville","Canada","YJT","CYJT",48.5442,-58.5500,84,-3.5,"A"
78,"Kamloops Airport","Kamloops","Canada","YKA","CYKA",50.7022,-120.4440,1133,-8,"A"
79,"Waterloo Airport","Waterloo","Canada","YKF","CYKF",43.4608,-80.3786,1055,-5,"A"
80,"Schefferville Airport","Schefferville","Canada","YKL","CYKL",54.8053,-66.8053,1709,-5,"A"
81,"Kindersley Airport","Kindersley","Canada","YKY","CYKY",51.5175,-109.1810,2277,-6,"N"
82,"Buttonville Municipal Airport","Toronto","Canada","YKZ","CYKZ",43.8622,-79.3700,650,-5,"A"
83,"Chapleau Airport","Chapleau","Canada","YLD","CYLD",47.8200,-83.3467,1470,-5,"A"
84,"Meadow Lake Airport","Meadow Lake","Canada","YLJ","CYLJ",54.1253,-108.5230,1576,-6,"N"
85,"Lloydminster Airport","Lloydminster","Canada","YLL","CYLL",53.3092,-110.0730,2193,-7,"A"
86,"Alert Airport","Alert","Canada","YLT","CYLT",82.5178,-62.2806,100,-5,"A"
